VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost
480,BACARDI USA INC,2916,Royal Brackla 12 Yr Scotch,47.05,63.99,750.0,112,5269.600000000002,163.0,10725.369999999972,10597.389999999972,128.75000000000045,89286.26999999999
7153,PINE STATE TRADING CO,11200,Palagetto Vernaccia Gimigano,9.26,14.99,750.0,569,5268.939999999998,551.0,8012.489999999948,5038.539999999955,61.119999999999884,15884.819999999998
8673,STE MICHELLE WINE ESTATES,18175,Seven Falls Cab Svgn,7.43,10.99,750.0,709,5267.869999999996,687.0,7550.129999999996,1022.0700000000006,77.16999999999999,15919.700000000003
9552,M S WALKER INC,29182,Cantele Salice Salentino Rsv,8.21,11.99,750.0,641,5262.610000000004,694.0,9190.059999999945,5009.199999999952,77.1799999999999,55551.819999999985
4425,MARTIGNETTI COMPANIES,14174,Chalk Hill Estate Red,32.67,49.99,750.0,161,5259.870000000003,164.0,8408.359999999979,6213.789999999983,18.119999999999983,144929.24
9552,M S WALKER INC,13710,Stone Fruit Rsl,6.03,10.99,750.0,870,5246.099999999997,838.0,6459.619999999948,3235.789999999965,93.32999999999991,55551.819999999985
9552,M S WALKER INC,35490,Sierra Cantabria Rioja Tint,7.58,11.99,750.0,692,5245.360000000002,694.0,8327.059999999945,5039.829999999947,77.03999999999985,55551.819999999985
9552,M S WALKER INC,31790,Dominio de Eguren Protocolo,5.15,7.99,750.0,1018,5242.700000000004,1049.0,8667.509999999918,4716.329999999933,116.56999999999987,55551.819999999985
17035,PERNOD RICARD USA,1031,Avion Tasting Flight 3/375mL,33.57,49.99,375.0,156,5236.920000000001,204.0,9852.959999999974,7223.5099999999775,79.92000000000009,123780.21999999997
653,STATE WINE & SPIRITS,14724,Tozai Blossom of Peace,11.48,18.99,720.0,456,5234.880000000005,428.0,7333.719999999965,4864.169999999965,46.75999999999989,8014.98
10754,PERFECTA WINES,10264,Fort Ross Pnt Nr Sonoma Cst,19.6,29.99,750.0,267,5233.2,1244.0,37307.56000000013,16794.399999999918,138.57000000000022,28720.52
4425,MARTIGNETTI COMPANIES,20788,Mt Tabor Galilee Chard,11.1,16.99,750.0,471,5228.099999999997,473.0,8036.26999999996,4536.329999999969,52.54999999999988,144929.24
4425,MARTIGNETTI COMPANIES,14195,Twomey Svgn Bl Napa,15.89,23.99,750.0,329,5227.81,164.0,4283.359999999998,1156.5600000000002,18.36999999999999,144929.24
10754,PERFECTA WINES,610,Moillard Pnt Nr Bourgogne,14.48,20.99,750.0,361,5227.28,175.0,3607.2499999999895,2951.569999999991,19.309999999999967,28720.52
90024,VINILANDIA USA,21157,Huber Hugo Gruner Veltliner,7.38,10.99,750.0,708,5225.040000000004,660.0,8741.399999999934,5195.08999999995,73.20999999999985,2802.6400000000003
11567,CAMPARI AMERICA,3282,Skyy Watermelon Fresca Vodka,0.79,0.99,50.0,6612,5223.480000000003,9217.0,9124.829999999683,2668.0499999998806,480.0200000000147,20964.809999999998
1587,VINEYARD BRANDS INC,21981,Massolino Barolo Serralunga,25.97,39.99,750.0,201,5219.969999999999,197.0,7878.029999999983,4438.889999999988,21.919999999999966,6070.089999999999
4425,MARTIGNETTI COMPANIES,33767,Sensi Chianti DOCG,7.14,11.99,750.0,731,5219.340000000001,723.0,8666.769999999926,5369.519999999941,80.13999999999982,144929.24
3960,DIAGEO NORTH AMERICA INC,8606,Baileys Espresso Creme,0.73,0.99,50.0,7144,5215.119999999996,10465.0,10360.349999999837,1717.6500000000142,547.8700000000048,257032.07000000007
7239,REMY COINTREAU USA INC,6186,Rene Junot White,7.84,11.99,1500.0,665,5213.599999999998,672.0,8612.279999999968,3641.149999999975,150.48999999999995,16978.669999999995
10754,PERFECTA WINES,20932,Frey Vyds Organic Agrul Red,7.43,10.99,750.0,701,5208.429999999997,681.0,8498.189999999933,5406.689999999943,75.52999999999983,28720.52
4425,MARTIGNETTI COMPANIES,44174,Dieberg Santa Maria V Pnt Nr,25.5,37.99,750.0,204,5202.0,34.0,1291.66,721.8100000000001,3.779999999999999,144929.24
1392,CONSTELLATION BRANDS INC,27911,Ruffino Chianti Clsc Santdam,10.38,15.99,750.0,501,5200.380000000003,560.0,9044.399999999941,5836.37999999995,62.06999999999985,79528.99
4425,MARTIGNETTI COMPANIES,17921,Raymond R Field Blend Lot 7,8.9,14.99,750.0,584,5197.600000000002,628.0,8287.719999999943,5332.9699999999475,69.66999999999989,144929.24
7153,PINE STATE TRADING CO,21041,Alexander Vly Vyds Merlot,10.27,15.99,750.0,506,5196.619999999995,381.0,6072.18999999997,4098.429999999973,42.15999999999989,15884.819999999998
8892,TRINCHERO FAMILY ESTATES,6241,Sutter Home Chard,4.05,5.99,750.0,1278,5175.900000000001,1238.0,7415.619999999959,1928.7800000000027,138.57999999999998,11595.970000000003
8673,STE MICHELLE WINE ESTATES,23240,14 Hands Red Blend Ltd,5.4,7.99,750.0,958,5173.2,958.0,9570.419999999967,2917.0799999999826,107.28000000000004,15919.700000000003
8892,TRINCHERO FAMILY ESTATES,22919,Complicated Pnt Nr,12.92,22.99,750.0,400,5167.999999999999,850.0,16141.499999999874,11811.77999999989,94.03999999999978,11595.970000000003
4425,MARTIGNETTI COMPANIES,37913,Pouilly Fume Minet Vls Vgns,13.15,19.99,750.0,393,5167.950000000003,467.0,9335.329999999944,6216.889999999956,51.71999999999987,144929.24
10754,PERFECTA WINES,16526,Flaco Tempranillo,6.03,8.99,750.0,856,5161.679999999998,908.0,8262.919999999925,4526.0299999999415,100.97999999999992,28720.52
9165,ULTRA BEVERAGE COMPANY LLP,1988,Hardy V.S. Cognac,23.25,29.99,750.0,222,5161.5,8.0,239.92000000000002,239.92000000000002,6.32,68054.70000000003
3252,E & J GALLO WINERY,10235,Sheffield Marsala Silver Lne,6.89,9.99,1500.0,749,5160.610000000005,761.0,7982.8899999999785,1940.6500000000015,170.99999999999974,61966.909999999996
3924,HEAVEN HILL DISTILLERIES,2133,Parkers Heritage 24Yr Bourbn,198.4,249.99,750.0,26,5158.4,26.0,6499.740000000002,2749.8899999999994,20.459999999999997,14069.869999999995
9552,M S WALKER INC,35896,Catena Alta Historic Rows CS,31.03,44.99,750.0,166,5150.9800000000005,129.0,5530.709999999988,3560.1699999999923,14.309999999999983,55551.819999999985
3252,E & J GALLO WINERY,24818,Rancho Zabaco Monte Rsso Znf,20.68,29.99,750.0,249,5149.319999999999,228.0,5740.719999999987,3609.569999999987,25.259999999999973,61966.909999999996
8112,MOET HENNESSY USA INC,2016,Ardbeg Perpetuum Single Malt,74.62,99.99,750.0,69,5148.78,138.0,13228.619999999983,9688.979999999983,108.84000000000009,48347.26
9552,M S WALKER INC,19571,Mt Brave Cab Svgn Mt Veeder,45.15,69.99,750.0,114,5147.0999999999985,97.0,6959.02999999999,4231.4099999999935,10.759999999999996,55551.819999999985
1601,VRANKEN AMERICA,18584,Heidsieck Monopole Rose Top,26.48,43.99,750.0,194,5137.120000000002,147.0,6334.529999999983,4722.899999999987,16.249999999999986,1048.9699999999998
6359,OLE SMOKY DISTILLERY LLC,4834,Ole Smoky Shine Nog,14.07,18.99,750.0,365,5135.549999999999,434.0,6223.159999999977,2888.9399999999873,341.83000000000004,1922.0
3664,WILLIAM GRANT & SONS INC,1045,Glenfiddich Trio 200ml Pack,33.55,49.99,200.0,153,5133.149999999998,183.0,9148.169999999975,8048.389999999974,5.489999999999996,30234.42000000001
10050,Russian Standard Vodka,5527,Fernet Gancia Liqueur,17.82,22.99,750.0,288,5132.16,124.0,2854.7599999999943,2578.8799999999956,97.85000000000016,732.5999999999999
4425,MARTIGNETTI COMPANIES,24292,Olivier & Lafont Ventx Rouge,7.48,10.99,750.0,686,5131.280000000007,609.0,6692.9099999999535,3890.459999999965,67.60999999999987,144929.24
4425,MARTIGNETTI COMPANIES,26503,Leflaive Macon Verze,24.65,35.99,750.0,208,5127.2,167.0,6010.329999999993,1835.4900000000002,18.68999999999999,144929.24
1392,CONSTELLATION BRANDS INC,8687,Paul Masson Ruby Burgundy,6.62,9.99,3000.0,774,5123.879999999984,775.0,8454.249999999922,5103.319999999941,348.7499999999978,79528.99
4425,MARTIGNETTI COMPANIES,287,The Bitter Truth Falernum,24.99,34.99,750.0,205,5122.950000000001,81.0,2834.189999999996,2729.219999999996,63.95999999999995,144929.24
10754,PERFECTA WINES,38105,Canyon Oaks Chard Cal,8.05,11.99,1500.0,636,5119.800000000007,621.0,7445.789999999985,1115.0700000000006,139.67999999999984,28720.52
8673,STE MICHELLE WINE ESTATES,6743,Antinori Orvieto Clsc Campo,6.53,11.99,750.0,784,5119.519999999998,768.0,8881.819999999943,4669.529999999952,85.36999999999986,15919.700000000003
12546,JIM BEAM BRANDS COMPANY,8152,Skinnygirl Mojito RTD,7.24,9.99,750.0,707,5118.680000000004,1511.0,15779.889999999748,12556.00999999978,1191.379999999987,123880.96999999999
1703,ALISA CARR BEVERAGES,90011,Ch Pichon Longville 12 Pauil,94.76,144.99,750.0,54,5117.039999999999,100.0,14498.999999999995,4204.709999999997,11.199999999999998,172.00000000000003
7153,PINE STATE TRADING CO,18653,Fuki Plum Wine,6.57,11.99,750.0,778,5111.460000000004,721.0,8622.789999999954,3840.8199999999697,80.39999999999992,15884.819999999998
